Дата,"AD (A-прилет, D-вылет)",Терминал,Код а/к,Номер рейса,Плановое время,Код а/п,Аэропорт,Тип ВС,Номер места стоянки,Номер гейта,Количество пассажиров
24.08.2019,D,D,SU,106,12:00,LAX,Лос-Анджелес,77W,26,DGA_I,386
24.08.2019,A,D,KL,901,12:35,SVO,Амстердам,73W,37,DGA_D,126
24.08.2019,A,D,SU,1859,13:10,SVO,Ереван,32A,33,DGA_D,158
24.08.2019,A,D,RL,7702,11:40,SVO,Анталья,77W,48A,DGA_D,488
24.08.2019,D,D,SU,2548,12:30,TFS,Тенерифе,333,34A,DGA_I,213
24.08.2019,A,D,EO,496,12:55,SVO,Ланчжоу,763,60,DGA_D,275
24.08.2019,A,D,SU,2105,12:40,SVO,Вильнюс,321,39,DGA_D,152
24.08.2019,A,D,SU,2007,12:50,SVO,Варшава,320,32,DGA_D,129
24.08.2019,A,D,KC,275,13:05,SVO,Алматы,321,34,DGA_D,145
24.08.2019,D,D,SU,2116,12:55,ATH,Афины,320,51,DGA_I,117
24.08.2019,A,D,AY,715,12:50,SVO,Хельсинки,E90,27,DGA_D,98
24.08.2019,A,D,SU,2203,13:05,SVO,Хельсинки,32A,24,DGA_D,156
24.08.2019,D,D,AH,3001,12:05,ALG,Алжир,736,177,DGA_I,100
24.08.2019,D,D,SU,2018,13:00,PRG,Прага,320,25,DGA_I,122
24.08.2019,A,D,SU,2107,13:10,SVO,Таллин,73H,36,DGA_D,131
24.08.2019,A,D,SU,2033,13:25,SVO,Будапешт,32A,29,DGA_D,146
24.08.2019,A,D,SU,2685,13:30,SVO,Берлин,73H,25,DGA_D,153
24.08.2019,D,D,RL,7515,13:25,CFU,Керкира(Корфу),73H,55,DGA_I,179
24.08.2019,D,D,SU,508,13:20,TLV,Тель-Авив,320,31,DGA_I,141
24.08.2019,A,D,SU,2683,13:20,SVO,Рига,320,30,DGA_D,130
24.08.2019,A,D,SU,107,13:20,SVO,Лос-Анджелес,77W,23,DGA_D,358
24.08.2019,D,D,N4,1803,13:20,AYT,Анталья,77W,53A,DGA_I,489
24.08.2019,D,D,SU,1840,13:25,MSQ,Минск,SU9,40,DGA_I,83
24.08.2019,A,D,LO,675,13:45,SVO,Варшава,E95,38,DGA_D,104
24.08.2019,A,D,SU,2011,13:50,SVO,Прага,73H,37,DGA_D,144
24.08.2019,D,D,SU,2466,13:40,BUD,Будапешт,SU9,57,DGA_I,65
24.08.2019,D,D,RL,7525,13:40,GZP,Аланья,75W,58,DGA_I,224
24.08.2019,D,D,SU,2582,13:40,LHR,Лондон,73H,18,DGA_I,151
24.08.2019,D,D,KL,902,13:30,AMS,Амстердам,73W,37,DGA_I,136
24.08.2019,D,D,N4,1723,13:50,MIR,Монастир,772,50,DGA_I,444
24.08.2019,A,D,RL,7744,13:30,SVO,Барселона,763,50,DGA_D,319
24.08.2019,D,D,AY,716,13:35,HEL,Хельсинки,E90,27,DGA_I,98
24.08.2019,A,D,AF,1044,14:15,SVO,Париж,321,41,DGA_D,164
24.08.2019,D,D,KC,276,14:00,ALA,Алматы,321,34,DGA_I,120
24.08.2019,A,D,SU,2321,14:15,SVO,Мюнхен,73H,27,DGA_D,155
24.08.2019,D,D,SU,2360,13:55,NCE,Ницца,321,39,DGA_I,146
24.08.2019,D,D,SU,2132,14:05,IST,Стамбул,32A,47,DGA_I,72
24.08.2019,D,D,SU,2458,14:05,CDG,Париж,320,32,DGA_I,143
